Titulo,fecha_publicacion,Vistas,Likes,Dislikes,Comentarios
Returning Destroyed Rental Cars Prank,2018-07-27T21:09:00Z,36330117,614533,0,18011
"I Gave My 6,000,000th Subscriber 6,000,000 ____",2018-07-25T21:11:00Z,17557542,397683,0,33298
"Can 1,000 Fans At Max Speed Push A Car?",2018-07-17T21:41:02Z,28369658,623364,0,37704
"I Donated $50,000 To Ninja - Fortnite",2018-07-14T21:06:00Z,95928809,2138166,0,61584
I Ubered Random People In A Tank,2018-07-11T21:16:00Z,29718835,874882,0,45165
World's Hottest Substance Vs Coldest Substance,2018-06-30T21:09:00Z,86471581,1602293,0,54347
The Real Way Dinosaurs Went Extinct,2018-06-28T21:12:01Z,27980009,780628,0,44576
I Donated $1000 Every Time She Blinked - Fortnite Streamers,2018-06-24T21:10:00Z,21369520,638926,0,25336
I Built A Working Car Using Only LEGOS,2018-06-23T21:09:58Z,73752892,1670347,0,102503
Do Water Repellent Shoes Actually Work?,2018-06-22T22:11:00Z,116713291,1811522,0,65723
"We Drove 3,000 Miles For The World's Best Burger",2018-06-09T21:13:59Z,52430364,1213710,0,97537
"I Gave My 5,000,000th Subscriber 5,000,000 ______",2018-06-08T22:36:59Z,11158883,294345,0,19587
I Made Money Grow On Trees,2018-06-01T22:09:00Z,17110778,435613,0,37373
I Took Apart My Friends Car And Put It In His Room,2018-05-25T22:41:59Z,15611229,314737,0,12490
How Many Rubber Bands Does It Take To Snap A Safe?,2018-05-22T22:14:01Z,36757627,917810,0,46200
Pulling Cars Over Using A Toy Police Car,2018-05-13T21:10:01Z,24403500,548288,0,19370
"I Gave $500,000 To Random People",2018-05-11T22:40:59Z,14930048,453955,0,31614
How Many Toy Cars Does It Take To Pull A Real Car?,2018-05-04T22:08:58Z,40426718,762333,0,27545
"I Gave $20,000 To People From An Ice Cream Truck",2018-05-02T22:11:00Z,14614466,348370,0,21639
$10000 Ice Sculpture Vs Flame,2018-05-01T22:09:00Z,23437549,505152,0,31028
"Can 1,000 Rolls Of Duct Tape Stop A Car??",2018-04-30T22:09:00Z,26537949,549235,0,25309
Winning A Game Of Fortnite In The Middle Of The Ocean,2018-04-25T22:09:02Z,31094233,789125,0,49043
I Flew Using Only Balloons AND Leaf Blowers,2018-04-23T22:09:02Z,32316587,657433,0,45820
"I Donated $40,000 To A Random Twitch Fortnite Streamer (world record)",2018-04-21T21:07:02Z,24151270,628500,0,29876
Destroying My Friend's Car And Surprising Him With A New One,2018-04-13T22:21:00Z,38459601,626724,0,36665
Walking Up To Random People With 100 StormTroopers,2018-04-11T22:09:01Z,19109787,497820,0,39681
"I Donated $10,000 If They Said This Word (Twitch Streamers)",2018-04-04T22:19:00Z,19948358,557994,0,22513
"Giving My 4,000,000th Subscriber 4,000,000 Cookies",2018-04-02T22:09:01Z,13117304,345209,0,25750
